Site_Seq,Site,Seq,Date,month,Order,Family,Lowest_ID,mass_mg
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.12147223057773171
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.19574664506970108
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.19574664506970108
DG-SEQ1,DG,SEQ1,2021-07-28,Jul,Hemiptera,Gerridae,Gerridae,14.682758171362485
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Diptera,Chironomidae,Chironomidae,0.047763767666121414
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Diptera,Chironomidae,Chironomidae,0.047763767666121414
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Trichoptera,Lepidostomatidae,Lepidostomatidae,0.31080214564195807
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Trichoptera,Lepidostomatidae,Lepidostomatidae,0.31080214564195807
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Diptera,Dolichopodidae,Dolichopodidae,0.31725203089983356
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Hemiptera,NA,Hemiptera,0.005
OL-SEQ1,OL,SEQ1,2021-07-25,Jul,Hemiptera,Corixidae,Corixidae,0.005
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Trichoptera,Odontoceridae,Odontoceridae,0.013276521049443692
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Trichoptera,Odontoceridae,Odontoceridae,0.0077
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Trichoptera,Odontoceridae,Odontoceridae,0.0077
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Trichoptera,Glossosomatidae,Glossosomatidae,0.0082
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.12147223057773171
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.12147223057773171
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.13460254004087022
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.13460254004087022
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.06774285601675957
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.06774285601675957
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.047763767666121414
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.047763767666121414
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.01980074394979855
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.01980074394979855
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.06774285601675957
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.06774285601675957
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.047763767666121414
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.047763767666121414
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.0018
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.0018
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.01254643668849776
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.01254643668849776
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.005201197319438261
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.005201197319438261
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.06774285601675957
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.06774285601675957
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.009655409082662655
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.009655409082662655
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Dixidae,Dixidae,0.10439639581511663
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Dixidae,Dixidae,0.10439639581511663
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Dixidae,Dixidae,0.10439639581511663
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Dixidae,Dixidae,0.10439639581511663
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Dixidae,Dixidae,0.007446936970145767
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Dixidae,Dixidae,0.007446936970145767
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Simuliidae,Simuliidae,0.05465653473361006
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Simuliidae,Simuliidae,0.05465653473361006
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Simuliidae,Simuliidae,0.12996686091128704
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Simuliidae,Simuliidae,0.12996686091128704
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Ephemeroptera,Baetidae,Baetidae,0.28523206405406
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.12147223057773171
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.12147223057773171
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Coleoptera,Curculionidae,Curculionidae,1.5541694520256601
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Ceratopogonidae,Ceratopogonidae,0.13270110940002966
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Ptychopteridae,Ptychopteridae,0.4790204197707575
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Diptera,Ptychopteridae,Ptychopteridae,0.19159659273902857
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Hemiptera,Aphididae,Aphididae,0.005
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Hemiptera,Aphididae,Aphididae,0.005
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Hemiptera,Aphididae,Aphididae,0.011978470496319307
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Hemiptera,Aphididae,Aphididae,0.019290962508528412
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Plecoptera,Leuctridae,Leuctridae,0.003628312978624445
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Aphididae,Aphididae,0.0058677524023606755
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Aphididae,Aphididae,0.0026723249966317192
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.025714762646956563
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.025714762646956563
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.020685420467582073
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.037945709579942845
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.020685420467582073
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.020685420467582073
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.0126
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.0126
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.020685420467582073
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,Veliidae,Veliidae,0.020685420467582073
SG-SEQ1,SG,SEQ1,2021-06-05,Jun,Hemiptera,NA,Hemiptera,0.06906174243929424
SG-SEQ2,SG,SEQ2,2021-07-24,Jul,Hemiptera,Gerridae,Gerridae,41.243346513242635
SG-SEQ2,SG,SEQ2,2021-07-24,Jul,Trichoptera,Sericostomatidae,Sericostomatidae,0.015189743784954884
SG-SEQ2,SG,SEQ2,2021-07-24,Jul,Hemiptera,Veliidae,Veliidae,0.020685420467582073
LAG2-SEQ3,LAG2,SEQ3,2021-07-26,Jul,Hemiptera,Aphididae,Aphididae,0.005
LAG2-SEQ2,LAG2,SEQ2,2021-07-26,Jul,Hemiptera,Aphididae,Aphididae,9.073686759811575e-5
LAG2-SEQ2,LAG2,SEQ2,2021-06-01,Jun,Coleoptera,Staphylinidae,Staphylinidae,0.08334703820879084
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Trichoptera,Limnephilidae,Limnephilidae,19.22092343757008
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Simuliidae,Simuliidae,0.12996686091128704
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Simuliidae,Simuliidae,0.12996686091128704
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.01980074394979855
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.01980074394979855
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
DG-SEQ3,DG,SEQ3,2021-06-01,Jun,Diptera,Chironomidae,Chironomidae,0.031907944553442515
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Ephemeroptera,Baetidae,Baetidae,0.044735916793071935
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Ephemeroptera,Baetidae,Baetidae,0.03888097143187806
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Ephemeroptera,Baetidae,Baetidae,0.028719992474546627
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,NA,Diptera,0.4790204197707575
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,NA,Diptera,0.10000604142751651
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.015918943889608208
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.015918943889608208
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.005201197319438261
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.005201197319438261
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.12996686091128704
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.12996686091128704
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Trichoptera,Psychomyiidae,Psychomyiidae,0.067666342315429
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Trichoptera,Psychomyiidae,Psychomyiidae,0.02857089101624554
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Trichoptera,Limnephilidae,Limnephilidae,0.23329312784310818
LAG2-SEQ1,LAG2,SEQ1,2021-07-27,Jul,Trichoptera,Hydropsychidae,Hydropsychidae,0.006079569512477335
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.024218736154542023
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.024218736154542023
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Diptera,Simuliidae,Simuliidae,0.01612246016656807
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Diptera,Simuliidae,Simuliidae,0.01612246016656807
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Hemiptera,Veliidae,Veliidae,0.006867641967767996
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.06774285601675957
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Diptera,Chironomidae,Chironomidae,0.06774285601675957
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0.030245754747416035
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Hemiptera,Veliidae,Veliidae,0.009175791860683383
DG-SEQ2,DG,SEQ2,2021-07-28,Jul,Hemiptera,Veliidae,Veliidae,0.005
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.06637989794700326
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.06637989794700326
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.12996686091128704
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.12996686091128704
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.01867378232738367
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.01867378232738367
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.01612246016656807
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.01612246016656807
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.05465653473361006
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.05465653473361006
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Lepidoptera,NA,Lepidoptera,0.9649615764691408
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.24933266549135996
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.054437362732178154
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.06264711405311887
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Coleoptera,Hydrophilidae,Hydrophilidae,2.1322949495129926
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Trichoptera,Psychomyiidae,Psychomyiidae,0.005128446053326054
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Trichoptera,Psychomyiidae,Psychomyiidae,0.0102539324836497
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Trichoptera,Psychomyiidae,Psychomyiidae,0.09158702914923152
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Trichoptera,Hydropsychidae,Hydropsychidae,0.03496001408979581
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Ephemeroptera,Baetidae,Baetidae,0.28523206405406
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Ephemeroptera,Baetidae,Baetidae,0.24612385563321615
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Plecoptera,Perlodidae,Perlodidae,NA
LAG1-SEQ3,LAG1,SEQ3,2021-07-27,Jul,Plecoptera,Perlodidae,Perlodidae,NA
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.21064856615575744
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.4931594997198522
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.5621219535370479
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.21064856615575744
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.1922480911221705
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.5621219535370479
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.21064856615575744
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.2726488181019515
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.40046303530199184
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.012508191656853391
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,NA,Trichoptera,0.18573127818287516
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.2726488181019515
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.0018
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.0018
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,NA
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.40046303530199184
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.023779266521751503
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.0074
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.003462938091277374
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.003462938091277374
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Culicidae,Culicidae,0.9177313587301292
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0.13597674005404825
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,Hydropsychidae,Hydropsychidae,0.002394413396210599
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Plecoptera,Capniidae,Capniidae,0.00781732976228899
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,Limnephilidae,Limnephilidae,0.03054787245247094
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.007217010420212946
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.007217010420212946
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.10000604142751651
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.4299683053669135
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.5621219535370479
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.04019400312344126
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.054437362732178154
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.06264711405311887
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,Polycentropodidae,Polycentropodidae,0.023046765570516745
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,Hydropsychidae,Hydropsychidae,0.0046
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,Brachycentridae,Brachycentridae,0.01085732102714323
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Trichoptera,Leptoceridae,Leptoceridae,0.006106735070671404
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Chironomidae,Chironomidae,0.011042515149646263
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Diptera,Simuliidae,Simuliidae,0.19159659273902857
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Ephemeroptera,Baetidae,Baetidae,0.12473820118494537
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.054437362732178154
LAG1-SEQ1,LAG1,SEQ1,2021-07-27,Jul,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Ephemeroptera,Baetidae,Baetidae,0.017003496618867193
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0.030245754747416035
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Ephemeroptera,Leptophlebiidae,Leptophlebiidae,0.030245754747416035
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Ephemeroptera,Baetidae,Baetidae,0.17876305010179047
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Ephemeroptera,Baetidae,Baetidae,0.03888097143187806
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Coleoptera,Elmidae,Elmidae,0.40046303530199184
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Coleoptera,Elmidae,Elmidae,0.1922480911221705
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Coleoptera,Elmidae,Elmidae,0.1749298050202334
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Coleoptera,Elmidae,Elmidae,0.40046303530199184
LAG2-SEQ1,LAG2,SEQ1,2021-06-01,Jun,Coleoptera,Elmidae,Elmidae,0.21064856615575744
