SiteName,Site,Seq,Date,Month,Vol_m3,Temperature_C,DO_Percent,Max_vel,RCTdepth_cm,Length_m
LAG2-SEQ3-2021,LAG2,SEQ3,2021-06-01,6,75.2505,14.4,99.5,0.188,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-06-02,6,19.429999999999996,17.2,81.7,0,5,13.4
OL-SEQ2-2021,OL,SEQ2,2021-06-02,6,33.11685,14.2,84.8,0.022,7,22.1
OL-SEQ3-2021,OL,SEQ3,2021-06-02,6,35.4042,14.9,79.1,0.083,11,17.8
SG-SEQ1-2021,SG,SEQ1,2021-06-05,6,6.267625,14.8,78.3,0.023,4.5,9.5
SG-SEQ2-2021,SG,SEQ2,2021-06-05,6,61.35674999999999,13.8,43.7,0.038,6,40.3
SG-SEQ3-2021,SG,SEQ3,2021-06-05,6,96.798,14.8,71.9,0.061,4.5,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-07-28,7,1.1927999999999999,14.3,8.1,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-07-28,7,10.281600000000001,14.4,12,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-07-27,7,112.85,17.8,102.8,0.218,17.8,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-07-27,7,53.289,17.7,103.9,0.313,17.7,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-07-27,7,109.557,17.4,103.6,0.222,7.6,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-07-26,7,32.441137499999996,16.1,101.7,0.262,16,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-07-26,7,198.835,16.7,102.4,0.103,20,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-07-26,7,71.526565,15.7,98.7,0.107,18.5,22.7
OL-SEQ1-2021,OL,SEQ1,2021-07-25,7,16.160400000000003,15.7,60.7,0,4,13.4
OL-SEQ2-2021,OL,SEQ2,2021-07-25,7,38.4622875,15.5,63,0,9,22.1
OL-SEQ3-2021,OL,SEQ3,2021-07-25,7,36.68224,15.5,53.7,0,9,17.8
SG-SEQ1-2021,SG,SEQ1,2021-07-24,7,2.548375,15.3,20.8,0,0,9.5
SG-SEQ3-2021,SG,SEQ3,2021-07-24,7,71.84660000000001,14.6,25.5,0,0,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-09-26,9,1.36675,14.5,19.3,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-09-26,9,3.7506,14.4,11.4,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-09-12,9,148.618875,16.5,99.4,0.159,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-09-12,9,56.454,16.7,99.3,0.299,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-09-12,9,130.647,16.7,98.5,0.085,16,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-09-11,9,43.30665,17.9,97.6,0.412,16,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-09-11,9,200.928,17.7,98,0.097,20,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-09-11,9,59.25456666666666,17.6,92.8,0.174,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-09-19,9,18.625999999999998,16.1,62.5,0.144,6,13.4
OL-SEQ2-2021,OL,SEQ2,2021-09-19,9,36.343450000000004,16.3,63.6,0.078,9,22.1
OL-SEQ3-2021,OL,SEQ3,2021-09-19,9,48.44715,15.8,61.7,0.096,8,17.8
SG-SEQ2-2021,SG,SEQ2,2021-09-18,9,73.2251,14.3,10.1,0,0,40.3
SG-SEQ3-2021,SG,SEQ3,2021-09-18,9,115.1648,14.4,26.6,0,0,58.4
DG1-SEQ1-2021,DG1,SEQ1,2021-10-16,10,4.40555,11.8,2.6,0,0,7.1
DG1-SEQ2-2021,DG1,SEQ2,2021-10-16,10,4.032,12.4,10.1,0,0,5.6
LAG1-SEQ1-2021,LAG1,SEQ1,2021-10-09,10,140.7575,14.2,99.5,0.2,15,30.5
LAG1-SEQ2-2021,LAG1,SEQ2,2021-10-09,10,51.48,14.1,98.8,0.262,13,18
LAG1-SEQ3-2021,LAG1,SEQ3,2021-10-09,10,128.29749999999999,14.1,98.1,0.202,17,37
LAG2-SEQ1-2021,LAG2,SEQ1,2021-10-10,10,38.8648,14.8,94.1,0.374,18,11.1
LAG2-SEQ2-2021,LAG2,SEQ2,2021-10-10,10,189.63787499999998,14.9,93.8,0.168,23,34.5
LAG2-SEQ3-2021,LAG2,SEQ3,2021-10-10,10,59.21673333333332,15.5,94,0.2,20,22.7
OL-SEQ1-2021,OL,SEQ1,2021-10-17,10,16.580266666666667,10.3,65.1,0.146,3,13.4
OL-SEQ2-2021,OL,SEQ2,2021-10-17,10,27.801800000000007,10.3,61.5,0.075,4,22.1
OL-SEQ3-2021,OL,SEQ3,2021-10-17,10,50.997,10.3,58.6,0.059,7,17.8
SG-SEQ3-2021,SG,SEQ3,2021-10-16,10,44.7761,10.1,15.6,0,0,24.45
